"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263687150.837989","278212290.502793","361452513.96648","365921787.709497","376536312.849162","401117318.435754","470949720.670391","488268156.424581","499441340.782123","516201117.318436","539106145.251397","549162011.173184","566480446.927374","603351955.307263","634078212.290503","649162011.173184","662569832.402235","712290502.793296","715642458.100559","683240223.463687","717318435.75419","708379888.268156","748603351.955307","","",
"Afghanistan","AFG","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345361633.243713","448213784.838208","558705470.017304","662535065.295187","808116143.503797","1076362142.21403","1072332646.46865","1460091103.20285","2284694323.14411","2300713625.18263","2486216274.30011","2485003500.08404","2603354322.33771","2458719235.92264","2402007176.6493","2538393158.85208","","",
"Angola","AGO","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2247834009.58387","2924222723.53447","3892834787.41071","3370783826.94089","5926082302.3643","8036148670.92789","10140406043.3264","14887423467.4158","13990134480.5504","14281398413.8089","20385811310.6112","22848002476.2224","29559336458.4747","26192729691.2385","19093907444.3177","14036680269.1493","15797719684.6597","","",
"Albania","ALB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","181118882.72953","182867122.838317","201624987.5","208000000","201124987.5","205750000","389249987.5","251527784.722222","139619502.215707","173511335.701164","275059100.665481","330850354.108795","302481365.832559","235969734.151329","276094734.056629","355118537.291818","337331814.899172","416760684.950578","492859483.01281","622787590.652833","805106330.34189","888245754.743903","936515452.063843","1118710154.71995","1336950053.99632","1338043401.58415","1330733602.47228","1414665047.82199","1336057997.16411","1408648067.02458","1514881512.18439","1265160430.86421","1336693225.19814","1493034491.27076","1682870972.28241","",
"Andorra","AND","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","5601035513.51125","6310974853.27799","6957961554.18964","8037843085.90044","9616470461.64467","11976647508.8","16562619243.6954","23484313975.2591","30765397689.793","35244975540.0207","44942264274.4613","55053214657.227","64453298570.0237","80081627990.999","90093246428.5451","92485039203.5114","90192991514.5387","88216563795.5017","91240707617.2579","93777683889.8606","89450558257.0595","92367536501.0348","96424381435.612","110209740528.653","112012421531.45","100458821773.102","97141960042.9342","101037490959.789","110528334399.437","120855921685.558","120762687346.013","121909112651.411","133776979787.512","136802159191.807","137000300124.49","148966813514.178","166367135440.584","188313239580.171","214634637723.548","243383024147.187","282633713095.353","303140745478.684","336211615308.62","403489850691.697","447014133395.241","504114814248.699","544981159954.464","533643183118.834","496598216833.631","491250439064.343","521760859889.658","",
"United Arab Emirates","ARE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10242341729.0674","11142545949.6256","12124166099.3873","12929884275.017","14219196732.4711","15365554799.1831","17365554799.1831","23019741320.6263","25948264125.2553","29068754254.595","34902927161.3342","36449285228.0463","42851191286.5895","44070524166.0994","44511095983.6624","44725391422.7366","47124574540.5038","54410619469.0266","",
"Argentina","ARG","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","2981109322.95567","1873293741.48124","1851010086.55162","2292941109.49128","3093333419.90704","2362424326.82205","2598571394.01054","2969714408.66378","3077105358.84717","3377999916.89886","3248124955.47887","6063222189.12736","9527777909.5819","6601594539.00068","4820215361.52499","5119039948.11081","6485598140.10612","7623189691.88905","","","","","","","","5238095279.67741","5454545411.94322","3444365653.36953","4432002300.89635","6302044992.13424","6807692307.69231","31984701701.7017","33948366600","34445834100","34023284500","35324694300","37352911200","38908460700","39175188600","38037449000","11956773588.4449","14593470488.4092","18301129726.4273","24130382300.7642","28905507926.1954","37348269040.9027","49293062930.4651","52956236298.6285","64237667185.0303","83177086713.2186","90881156804.3051","92774657769.3512","89210530677.4557","107639984288.54","98429812727.8394","113539252156.955","83864534863.8548","",
"Armenia","ARM","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","413148198.889167","382868191.718774","236021087.240056","206549971.36232","151809370.741516","166257444.674382","181144330.142343","188167547.597873","213841427.1556","225711136.22968","233267719.76179","243725002.702411","248835789.657277","292183423.467008","369924079.107695","523707364.139109","650561820.438592","946851181.495742","1207146858.4767","1171565001.74932","1231746465.03979","1338767235.19326","1158563982.83569","1327354216.30039","1403108724.32618","1383711190.80395","1418893741.82342","1420015976.25438","1585254353.0922","",
"American Samoa","ASM","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
