,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.71298,,,,,,,95.93864,,,96.8453,97.24696999999999,,,,,,98.14115,97.36639099722481,97.36594862210917,97.36550624699355,97.36506387187791,97.36462149676228,97.36417912164664,97.363736746531
5,,,,,,,,,,,,,,,,,,,47.1752510070801,47.6514015197754,48.1909790039063,48.720340728759794,49.312801361084006,49.460910797119105,50.2221183776855,51.006710052490206,51.924808502197294,52.4798698425293,53.4374198913574,54.3037109375,55.2286491394043,56.302490234375,57.210079193115206,57.9046783447266,58.7162094116211,59.685230255127,61.1546783447266,61.9118499755859,63.117618560790994,64.1757736206055,65.1159286499023,66.33673095703129,67.5214691162109,70.1877593994141,71.1753234863281,71.7514190673828,69.65244293212889,70.13626098632811,71.0801620483398,69.80551910400389,70.76441,72.59385999999999,73.7217,73.94749,74.61962,75.11764000000001,73.69399,74.47393000000001,74.5966,74.86802492936056,75.39038589201812,75.91274685467567,76.43510781733346,76.95746877999102,77.4798297426488,78.00219070530636
7,,,,,,,,,,,,,,,,,,,,,93.9128570556641,,,,,,,,,,,96.1281967163086,,,,,,,,,,97.19331,,,,,98.6108,,,98.98342,98.95496999999999,99.10833000000001,99.10523,99.12195,98.99389000000001,99.17996,99.12501,,99.00386999999999,98.8246463602314,98.84803933751036,98.87143231478932,98.89482529206828,98.91821826934724,98.9416112466262,98.96500422390515
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7918014526367,,,,,,,,99.60191,,99.75984,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006,99.79123,,99.7112987802826,99.7128044436556,99.71431010702861,99.7158157704016,99.7173214337746,99.7188270971476,99.7203327605206
14,,,,,,,,,,,,,,,,,,,,22.5085506439209,,,,,,,,,,,37.3847198486328,,,,,,,,,,59.303619999999995,,,,,,,,48.08406,,,,,,61.56973000000001,,,68.37533,,52.77411948110904,52.90897160884589,53.04382373658268,53.17867586431947,53.313527992056265,53.448380119793114,53.58323224752991
16,,,,,,,,,,,,,,,,,,,,16.4827899932861,,,,,,,,,,,,,27.2452507019043,,,,,,,,,,34.65785,,,,28.702109999999998,,,,,,32.94882,,,,,,42.3624,31.95880991276509,32.02376573763591,32.088721562506734,32.153677387377584,32.218633212248406,32.283589037119256,32.34854486199008
17,,,,,,,,,,,,,,,,8.68515014648438,,,,,,,,,,,,,,,,13.5692300796509,,,,,12.8481702804565,,,,,,,21.82292,,23.553720000000002,22.472579999999997,28.72921,,,,,,,34.5994,,,,41.22445,25.856618976904883,25.97330758933802,26.08999620177113,26.206684814204237,26.323373426637346,26.440062039070455,26.556750651503563
18,,,,,,,,,,,,,,,,,,,,,,29.2272300720215,,,,,,,,,,35.3193016052246,,,,,,,,,,47.4855,,,,,,46.6636,,,,58.769180000000006,57.86075,61.01554,61.0933,65.13733,72.75872,72.89296999999999,73.9122,61.68446603921524,61.88612566002547,62.08778528083565,62.28944490164582,62.491104522456055,62.69276414326623,62.894423764076464
20,,,,,,,,,,,,,,,,,,,,,,69.75350952148439,,,,,,,,,,84.0138320922852,,,,,,,,,,86.54874000000001,,,,,,,,,90.9774,,,,,,97.06668,97.40389,97.46419,91.39447846509402,91.49288982010528,91.5913011751165,91.68971253012775,91.788123885139,91.88653524015022,91.98494659516147
26,,,,,,,,,,,,,,,,,63.2081489562988,,,,,,,,,,,,,,,,79.9917678833008,,,,,,,,,86.72367,,,,,,90.74347,90.69811,91.16783000000001,,92.22615,94.46056999999999,,,92.45508000000001,,,,89.49891303227975,89.60916960844142,89.71942618460307,89.82968276076471,89.93993933692639,90.05019591308803,90.1604524892497
